clause_id,source_doc,domain,raw_text,clean_text,word_count,token_count,pattern_label,risk_label,risk_score,modal_score,consequence_score,conditional_score,has_negation,obligation_count,penalty_flag
C00001,hr_health_safety_policy,hr,Risk Assessments Managers must ensure risk assessments are completed and reviewed annually. Conducting high-risk activities without a valid risk assessment is prohibited and may result in regulatory prosecution,risk assessment manager must ensure risk assessment complete review annually conduct high risk activity without valid risk assessment prohibited may result regulatory prosecution,28,23,numbered_clause,Critical,0.95,0.9,1.0,0.6,0,1,1
C00002,stanford_honor_code,academic,"The study will be led jointly by the AIWG and a disinterested, unbiased external consulting group with extensive experience working with student conduct, campus climate, and DEI concerns",study will lead jointly aiwg disintereste unbiased external consulting group extensive experience work student conduct campus climate dei concern,28,19,spacy_sentence,Low,0.03,0.8,0.0,0.0,0,1,0
C00003,ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY_AGR,legal,"The Company shall assist the Agent, if necessary, in connection with the allocation of the Shares in the event of an oversubscription and shall provide the Agent with any information necessary to assist the Company in allocating the Shares in such event and such information shall be accurate and reliable in all material respects",company shall assist agent necessary connection allocation share event oversubscription shall provide agent information necessary assist company allocate share event information shall accurate reliable material respect,54,26,lettered_subclause,Critical,0.8625,0.9,0.85,0.85,0,3,1
C00004,columbia_integrity,academic,I do so to sustain a community built around this Code of Honor,sustain community build code honor,13,5,spacy_sentence,Low,0.0,0.0,0.0,0.0,0,0,0
C00005,AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-A,legal,"Authority. The persons signing below represent and warrant that they are duly authorized representatives of the respective Parties, fully willing and able to execute this Agreement",authority person sign represent warrant duly authorize representative respective party fully willing able execute agreement,26,15,numbered_clause,Medium,0.25,0.0,0.0,0.0,0,0,0
C00006,Apollo_Endosurgery_-_Manufacturing_and_Supply_Agre,legal,"Any penalty for failure to purchase a designated quantity of product for a defined period, if any, shall be clearly described in Exhibit A or in a written amendment",penalty failure purchase designate quantity product define period shall clearly describe exhibit write amendment,29,14,spacy_sentence,Critical,0.9,0.9,0.85,1.0,0,1,1
C00007,AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC_ALLIA,legal,"Infringement: Aura has no actual knowledge, that the AuraGen System or, as assembled the AETRU System conflicts with, violate or infringe any rights of any third party",infringement aura no actual knowledge auragen system assemble aetru system conflict violate infringe right party,27,15,lettered_subclause,High,0.6375,0.0,0.0,0.0,0,0,0
C00008,AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC_ALLIA,legal,"The waiver or excuse by either party hereto as to any breach, default or deficiency and the performance by the other party of any duty or obligation by the other party to be performed hereunder shall not constitute or be deemed a continuing waiver or excuse of the same or any other duty or obligation owed by the other",waiver excuse party hereto breach default deficiency performance party duty obligation party perform hereunder shall not constitute deem continue waiver excuse duty obligation owe,59,24,spacy_sentence,Critical,0.8375,0.9,0.45,0.8,1,1,0
C00009,ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATI,legal,Payments to OntoChem will be made by check or by wire transfer of immediately available funds to such bank account as designated in writing by OntoChem from time to time,payment ontochem will check wire transfer immediately available fund bank account designate writing ontochem time time,30,16,spacy_sentence,Critical,0.845,0.8,0.0,0.0,0,1,0
C00010,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT_AGREE,legal,"It is agreed that if the contract is terminated pursuant to this paragraph, the compensation due CONSULTANT shall be prorated from the date this Agreement is terminated",agree contract terminate pursuant paragraph compensation consultant shall prorate date agreement terminate,27,12,spacy_sentence,Critical,0.875,0.9,0.0,0.0,0,1,0
